Contest Year,R/O,Country,Artist,Song,Language,Points,Place
1981,13,Norway,Finn Kalvik,"""Aldri i livet""",Norwegian,0,20
1981,14,United Kingdom,Bucks Fizz,"""Making Your Mind Up""",English,136,1
1981,15,Portugal,Carlos Paião,"""Playback""",Portuguese,9,18
1981,16,Belgium,Emly Starr,"""Samson""",Dutch,40,13
1981,17,Greece,Yiannis Dimitras,"""Feggari kalokerino"" (Φεγγάρι καλοκαιρινό)",Greek,55,8
1981,18,Cyprus,Island,"""Monika"" (Μόνικα)",Greek,69,6
1981,19,Switzerland,"Peter, Sue and Marc","""Io senza te""",Italian,121,4
1981,20,Sweden,Björn Skifs,"""Fångad i en dröm""",Swedish,50,10
1982,1,Portugal,Doce,"""Bem bom""",Portuguese,32,13
1982,2,Luxembourg,Svetlana,"""Cours après le temps""",French,78,6
1982,3,Norway,Jahn Teigen and Anita Skorgan,"""Adieu""",Norwegian,40,12
1982,4,United Kingdom,Bardo,"""One Step Further""",English,76,7
1982,5,Turkey,Neco,"""Hani?""",Turkish,20,15
1982,6,Finland,Kojo,"""Nuku pommiin""",Finnish,0,18
1982,7,Switzerland,Arlette Zola,"""Amour on t'aime""",French,97,3
1982,8,Cyprus,Anna Vissi,"""Mono i agapi"" (Μόνο η αγάπη)",Greek,85,5
1982,9,Sweden,Chips,"""Dag efter dag""",Swedish,67,8
1982,10,Austria,Mess,"""Sonntag""",German,57,9
1982,11,Belgium,Stella,"""Si tu aimes ma musique""",French,96,4
1982,12,Spain,Lucía,"""Él""",Spanish,52,10
1982,13,Denmark,Brixx,"""Video-video""",Danish,5,17
1982,14,Yugoslavia,Aska,"""Halo, halo"" (Хало, хало)",Serbo-Croatian,21,14
1982,15,Israel,Avi Toledano,"""Hora"" (הורה)",Hebrew,100,2
1982,16,Netherlands,Bill van Dijk,"""Jij en ik""",Dutch,8,16
1982,17,Ireland,The Duskeys,"""Here Today Gone Tomorrow""",English,49,11
1982,18,Germany,Nicole,"""Ein bißchen Frieden""",German,161,1
1983,1,France,Guy Bonnet,"""Vivre""",French,56,8
1983,2,Norway,Jahn Teigen,"""Do Re Mi""",Norwegian,53,9
1983,3,United Kingdom,Sweet Dreams,"""I'm Never Giving Up""",English,79,6
1983,4,Sweden,Carola Häggkvist,"""Främling""",Swedish,126,3
1983,5,Italy,Riccardo Fogli,"""Per Lucia""",Italian,41,11
1983,6,Turkey,Çetin Alp,"""Opera""",Turkish,0,19
1983,7,Spain,Remedios Amaya,"""¿Quién maneja mi barca?""",Spanish,0,19
1983,8,Switzerland,Mariella Farré,"""Io così non ci sto""",Italian,28,15
1983,9,Finland,Ami Aspelund,"""Fantasiaa""",Finnish,41,11
1983,10,Greece,Christie Stasinopoulou,"""Mou les"" (Μου λες)",Greek,32,14
1983,11,Netherlands,Bernadette,"""Sing Me a Song""",Dutch,66,7
1983,12,Yugoslavia,Daniel,"""Džuli"" (Џули)",Serbo-Croatian,125,4
1983,13,Cyprus,Stavros and Constantina,"""I agapi akoma zi"" (Η αγάπη ακόμα ζει)",Greek,26,16
1983,14,Germany,Hoffmann and Hoffmann,"""Rücksicht""",German,94,5
1983,15,Denmark,Gry Johansen,"""Kloden drejer""",Danish,16,17
1983,16,Israel,Ofra Haza,"""Hi"" (חי)",Hebrew,136,2
1983,17,Portugal,Armando Gama,"""Esta balada que te dou""",Portuguese,33,13
1983,18,Austria,Westend,"""Hurricane""",German,53,9
1983,19,Belgium,Pas de Deux,"""Rendez-vous""",Dutch,13,18
1983,20,Luxembourg,Corinne Hermès,"""Si la vie est cadeau""",French,142,1
1984,1,Sweden,Herreys,"""Diggi-Loo Diggi-Ley""",Swedish,145,1
1984,2,Luxembourg,Sophie Carle,"""100% d'amour""",French,39,10
1984,3,France,Annick Thoumazeau,"""Autant d'amoureux que d'étoiles""",French,61,8
1984,4,Spain,Bravo,"""Lady, Lady""",Spanish,106,3
1984,5,Norway,Dollie de Luxe,"""Lenge leve livet""",Norwegian,29,17
1984,6,United Kingdom,Belle and the Devotions,"""Love Games""",English,63,7
1984,7,Cyprus,Andy Paul,"""Anna Maria Lena"" (Άννα Μαρία Λένα)",Greek,31,15
1984,8,Belgium,Jacques Zegers,"""Avanti la vie""",French,70,5
1984,9,Ireland,Linda Martin,"""Terminal 3""",English,137,2
1984,10,Denmark,Hot Eyes,"""Det' lige det""",Danish,101,4
1984,11,Netherlands,Maribelle,"""Ik hou van jou""",Dutch,34,13
1984,12,Yugoslavia,Vlado and Isolda,"""Ciao, amore""",Serbo-Croatian,26,18
1984,13,Austria,Anita,"""Einfach weg""",German,5,19
1984,14,Germany,Mary Roos,"""Aufrecht geh'n""",German,34,13
1984,15,Turkey,"Beş Yıl Önce, On Yıl Sonra","""Halay""",Turkish,37,12
1984,16,Finland,Kirka,"""Hengaillaan""",Finnish,46,9
1984,17,Switzerland,Rainy Day,"""Welche Farbe hat der Sonnenschein?""",German,30,16
1984,18,Italy,Alice and Franco Battiato,"""I treni di Tozeur""",Italian,70,5
1984,19,Portugal,Maria Guinot,"""Silêncio e tanta gente""",Portuguese,38,11
1985,1,Ireland,Maria Christian,"""Wait Until the Weekend Comes""",English,91,6
1985,2,Finland,Sonja Lumme,"""Eläköön elämä""",Finnish,58,9
1985,3,Cyprus,Lia Vissi,"""To katalava arga"" (Το κατάλαβα αργά)",Greek,15,16
1985,4,Denmark,Hot Eyes,"""Sku' du spørg' fra no'en?""",Danish,41,11
1985,5,Spain,Paloma San Basilio,"""La fiesta terminó""",Spanish,36,14
1985,6,France,Roger Bens,"""Femme dans ses rêves aussi""",French,56,10
1985,7,Turkey,MFÖ,"""Didai didai dai""",Turkish,36,14
1985,8,Belgium,Linda Lepomme,"""Laat me nu gaan""",Dutch,7,19
1985,9,Portugal,Adelaide,"""Penso em ti, eu sei""",Portuguese,9,18
1985,10,Germany,Wind,"""Für alle""",German,105,2
1985,11,Israel,Izhar Cohen,"""Olé, Olé"" (עולה, עולה)",Hebrew,93,5
1985,12,Italy,Al Bano and Romina Power,"""Magic Oh Magic""",Italian,78,7
1985,13,Norway,Bobbysocks!,"""La det swinge""",Norwegian,123,1
1985,14,United Kingdom,Vikki,"""Love Is...""",English,100,4
1985,15,Switzerland,Mariella Farré and Pino Gasparini,"""Piano, piano""",German,39,12
1985,16,Sweden,Kikki Danielsson,"""Bra vibrationer""",Swedish,103,3
1985,17,Austria,Gary Lux,"""Kinder dieser Welt""",German,60,8
1985,18,Luxembourg,"Margo, Franck Olivier, Diane Solomon,Ireen Sheer, Malcolm Roberts and Chris Roberts","""Children, Kinder, Enfants""","French, German, English",37,13
1985,19,Greece,Takis Biniaris,"""Miazoume"" (Μοιάζουμε)",Greek,15,16
1986,1,Luxembourg,Sherisse Laurence,"""L'amour de ma vie""",French,117,3
1986,2,Yugoslavia,Doris Dragović,"""Željo moja"" (Жељо моја)",Serbo-Croatian,49,11
1986,3,France,Cocktail Chic,"""Européennes""",French,13,17
1986,4,Norway,Ketil Stokkan,"""Romeo""",Norwegian,44,12
1986,5,United Kingdom,Ryder,"""Runner in the Night""",English,72,7
1986,6,Iceland,ICY,"""Gleðibankinn""",Icelandic,19,16
1986,7,Netherlands,Frizzle Sizzle,"""Alles heeft ritme""",Dutch,40,13
1986,8,Turkey,Klips ve Onlar,"""Halley""",Turkish,53,9
1986,9,Spain,Cadillac,"""Valentino""",Spanish,51,10
1986,10,Switzerland,Daniela Simons,"""Pas pour moi""",French,140,2
1986,11,Israel,Moti Giladi and Sarai Tzuriel,"""Yavo Yom"" (יבוא יום)",Hebrew,7,19
1986,12,Ireland,Luv Bug,"""You Can Count On Me""",English,96,4
1986,13,Belgium,Sandra Kim,"""J'aime la vie""",French,176,1
1986,14,Germany,Ingrid Peters,"""Über die Brücke geh'n""",German,62,8
1986,15,Cyprus,Elpida,"""Tora zo"" (Τώρα ζω)",Greek,4,20
1986,16,Austria,Timna Brauer,"""Die Zeit ist einsam""",German,12,18
1986,17,Sweden,Lasse Holm and Monica Törnell,"""E' de' det här du kallar kärlek?""",Swedish,78,5
1986,18,Denmark,Lise Haavik,"""Du er fuld af løgn""",Danish,77,6
1986,19,Finland,Kari Kuivalainen,"""Never the End""",Finnish,22,15
1986,20,Portugal,Dora,"""Não sejas mau para mim""",Portuguese,28,14
1987,1,Norway,Kate Gulbrandsen,"""Mitt liv""",Norwegian,65,9
1987,2,Israel,Datner and Kushnir,"""Shir Habatlanim"" (שיר הבטלנים)",Hebrew,73,8
1987,3,Austria,Gary Lux,"""Nur noch Gefühl""",German,8,20
1987,4,Iceland,Halla Margrét,"""Hægt og hljótt""",Icelandic,28,16
1987,5,Belgium,Liliane Saint-Pierre,"""Soldiers of Love""",Dutch,56,11
1987,6,Sweden,Lotta Engberg,"""Boogaloo""",Swedish,50,12
1987,7,Italy,Umberto Tozzi and Raf,"""Gente di mare""",Italian,103,3
1987,8,Portugal,Nevada,"""Neste barco à vela""",Portuguese,15,18
1987,9,Spain,Patricia Kraus,"""No estás solo""",Spanish,10,19
1987,10,Turkey,Seyyal Taner and Lokomotif,"""Şarkım Sevgi Üstüne""",Turkish,0,22
1987,11,Greece,Bang,"""Stop"" (Στοπ)",Greek,64,10
1987,12,Netherlands,Marcha,"""Rechtop in de wind""",Dutch,83,5
1987,13,Luxembourg,Plastic Bertrand,"""Amour, amour""",French,4,21
1987,14,United Kingdom,Rikki,"""Only the Light""",English,47,13
1987,15,France,Christine Minier,"""Les mots d'amour n'ont pas de dimanche""",French,44,14
1987,16,Germany,Wind,"""Laß die Sonne in dein Herz""",German,141,2
1987,17,Cyprus,Alexia,"""Aspro mavro"" (Άσπρο μαύρο)",Greek,80,7
1987,18,Finland,Vicky Rosti and Boulevard,"""Sata salamaa""",Finnish,32,15
1987,19,Denmark,Anne-Cathrine Herdorf and Bandjo,"""En lille melodi""",Danish,83,5
1987,20,Ireland,Johnny Logan,"""Hold Me Now""",English,172,1
1987,21,Yugoslavia,Novi fosili,"""Ja sam za ples"" (Ја сам за плес)",Serbo-Croatian,92,4
1987,22,Switzerland,Carol Rich,"""Moitié, moitié""",French,26,17
1988,1,Iceland,Beathoven,"""Þú og þeir (Sókrates)""",Icelandic,20,16
1988,2,Sweden,Tommy Körberg,"""Stad i ljus""",Swedish,52,12
1988,3,Finland,Boulevard,"""Nauravat silmät muistetaan""",Finnish,3,20
1988,4,United Kingdom,Scott Fitzgerald,"""Go""",English,136,2
